C2	0.5228
SMOC1	0.4928
SRD5A2	0.3526
AC020571.3	0.3085
MYBPC1	0.2529
CD38	0.1939
FMOD	0.1695
SSTR1	0.0622
SLC22A3	0.0087
PPFIA2	-0.2563
COMP	-0.3291
ASPN	-0.3856
BMP6	-0.4138
HMGB2	-0.9971
