ASPN ENSG00000106819
AC020571.3 ENSG00000229056
C2 ENSG00000166278
SRD5A2 ENSG00000277893
CD38 ENSG00000004468
HMGB2 ENSG00000164104
BMP6 ENSG00000153162
SLC22A3 ENSG00000146477
SSTR1 ENSG00000139874
COMP ENSG00000105664
FMOD ENSG00000122176
PPFIA2 ENSG00000139220
SMOC1 ENSG00000198732
MYBPC1 ENSG00000196091
