Sample	condition	HECW2-AS1	ASPN	COL1A1.v20	CD38	CAMK2N1	ASPN.v24	TROAP	SRD5A2	EFNA2	PGM5-AS1	MYBPC1	UGT2B15	GMNN	AC069228.1	ctg_20	HOPX	USP9YP32	ctg_23	PTPRN2	SLC22A3	ANO7
CPCG_0100_F1_R	HR	2.03978460691401	0.347182917478576	0.454077468314208	0.568719764853492	0.201717414985852	1.8851823231863	0.493638762898421	0.903703381372041	0	1.123427729079	2.14232691916147	0.0619017127756972	1.13375630810583	1.61403530532306	0.916553791307949	0.201717414985852	0	1.9621158581076	2.1442008466588	0.391321097999904	2.8073116671866
CPCG_0196_F1_R	HR	1.36257126976097	0.654327337071356	0.353069679955733	0.570907971903219	0.207795973617438	1.7860235329668	0.253524353335636	0.990923619837894	0	1.08626198980213	2.31849051238712	0.207795973617438	0.479891243946956	0.109285699874754	0.176025385219221	0	0.207795973617438	0.819908005490255	2.26411253994338	0.592424218813621	2.8684672804771
CPCG_0235_F1_R	HR	2.77674315058307	0.220519198396195	0.162315537862251	0.603333137036234	0.10051370610698	0.738423672054035	0.191840766632862	0.819279954898961	0.631886822478379	1.34017221344826	4.2153941190918	0	0.275520715204706	0.301927120696716	0.10051370610698	0.10051370610698	0.0681188522052399	1.12477688202354	2.76022710483224	0.491295821739831	3.43948186833894
CPCG_0246_F1	LR	2.62252620546645	0	0.404223519258906	2.18120562950848	0.204104831385766	0.691284218728582	0.0433505621335257	1.90299567086247	0	1.06539478012912	4.5946066075015	0	0	0	0	0	0.240364069540397	0.275354449047211	2.2335032641983	1.55040911744078	4.42387866094277
CPCG_0249_F1	HR	0.9849457760776	0.538771894243055	0.428807566313831	1.55771900508465	0.223035746495087	1.87408550635617	0.251194644431116	1.07415972612565	0.251194644431116	1.46317168067192	4.20066464788896	0	0.251194644431116	0	0.251194644431116	0.356513232351531	0.19406089314496	0.474254338512493	2.33373528535523	0.496225952965641	2.23565848516092
CPCG_0250_F1_R	LR	2.69414854200482	0	0.126249363488396	2.67807741505699	0.0631246817441979	0.628434158180348	0	2.22012351490649	0	2.63320056955773	3.23699068227416	0	0.289988882425417	0	0.126249363488396	0.126249363488396	0.238331708473481	0.289988882425417	2.29742942186629	1.69389793608876	3.34463856032293
CPCG_0255_F1_R	LR	1.39102085376042	0	0.0649361653367811	3.10149712160503	0.0958885191086607	0.361924756464438	0.155059348623026	1.32194971390249	0	1.34842722973877	3.58874942698895	0	0.0649361653367811	0	0.155059348623026	0	0	0.0649361653367811	2.26047433265827	0.533245118561405	3.35133245522589
CPCG_0258_F1_R	LR	2.45416011650372	0.0454042572638051	0	1.32828399590902	0	0.528721815147563	0	1.5558873745305	0	2.10694737840606	2.91715819430671	0	0	0	0	0.0454042572638051	0.0454042572638051	0.298904667756753	2.23408356693393	2.20634297775937	3.23422401633623
CPCG_0262_F1	LR	1.86911634463926	0.156261797443625	0.106838765823361	1.59007476964041	0.106838765823361	0.754970264670165	0.156261797443625	1.41117176454516	0	1.56975597079528	1.9917505315788	0	0.657637775115588	0.728114073512273	0.35264826574536	0.0811800170887755	0	0.332637673122845	1.89700947905095	2.68974365779438	3.2854832138322
CPCG_0263_F1	LR	1.47606133212533	0.483558410758706	0.236257856799157	1.35759615314029	0	1.6608937591241	0.163535557444046	1.51586203668477	0	1.91311905717988	2.78988449319582	0.304048256758398	0.427227700892775	0.483558410758706	0.163535557444046	0	0.163535557444046	0.635696095518321	1.45555073760978	1.08327511388743	3.48914681391002
CPCG_0266_F1_R	LR	0.336203310900758	0.277403561848132	0	0.357366992571691	0.21492921203103	1.46248902735603	0	0.292430795462745	0	0.277403561848132	0.774209009052782	0	0.405151354402248	0.874919603749489	0.113227846636765	0.113227846636765	0	0.469650649404014	1.40538628752335	0.230917504086662	0.954932130505725
CPCG_0267_F1	LR	1.53386214406243	0.0538288038369021	0	1.59741196422852	0.0269144019184511	0.199846830493184	0	0.57338057023894	0	0.820656197269744	2.6447092250885	0	0	0	0	0	0.104907473922943	0.0796942322499726	1.28838830530625	0.541714218253864	2.51150560824903
CPCG_0269_F1	LR	1.73032948652831	0	0.070831071351407	2.17665694745885	0.168475901894532	0.27141637479208	0.136975250213991	1.08014171566085	0	1.06760205192555	3.97758179620939	0	0.070831071351407	0	0	0	0	0	1.91671534397626	1.7841459049315	4.2867541521328
CPCG_0335_F1	HR	1.47637879191609	0.411237041804055	0.22661070781475	2.7622830015868	0.132168677942977	2.19696078102313	0.132168677942977	0.937781724593761	0	0.701792635780151	1.52979157691388	0	0.880874165442426	2.41355910663015	0.448015694934123	0.180504190907845	0	0.534446878185986	2.29558177967517	1.66151497781704	2.74340752963097
CPCG_0340_F1	LR	1.64124694914977	0.516223902961167	0.29105941041909	0.27944702208131	0.194737226358184	1.99154343668794	0.21970145282798	0.828530009688533	0.335950855599257	0.378913342653482	3.1443914127473	0.115872221626602	0.169133796009186	0.0596134692279147	0.267834633743531	0.302408213755159	0	0.668785004372094	2.67721124009761	2.50227824344639	2.02453682463797
CPCG_0344_F1	LR	1.91759592318668	0.249993665030486	0.10120773762635	2.45685533218389	0.0685968256431975	0.426921533529194	0	1.73805716329945	0.0685968256431975	2.1998309809643	4.23853255881118	0	0.132788677952843	0	0.0685968256431975	0	0.132788677952843	0.132788677952843	2.5000563527048	1.17453454950401	3.37742442300546
CPCG_0345_F1_R	HR	1.80751586623529	0	0.206212020330751	2.91254740124728	0.158507160177387	0.864611052809635	0.158507160177387	1.4895741274504	1.2418169464876	1.71923806648964	4.22852156394867	0.158507160177387	0.61993196341573	0.158507160177387	0.377084497984423	0.2952935031898	1.09990156799471	0.802344686757331	1.52756963573089	1.70892510317783	4.14503736450996
CPCG_0349_F1	HR	2.54177911520098	0.120980853908954	0.176391471650653	0.326284742340731	0.228892281764045	0.675250373142005	0.120980853908954	0.854557739333493	0	0.120980853908954	4.25435677163036	0	0.228892281764045	0.496533893231231	0.120980853908954	0.278773705172972	0.571894282275728	1.58064723271155	2.5057535914144	0.120980853908954	4.11706965378698
CPCG_0350_F1	HR	0.091788434927756	0	0	0.0769535446843445	0	0.48537538592301	0.0621186544409329	0.277967271494144	0.0621186544409329	0	0.202377490455736	0.689828298742446	0.277967271494144	0.228214181354084	0.301945325715467	0	0	0.301945325715467	0.968602003915418	0.767138413099869	1.09418466061737
