probes	mean_LR	mean_HR	logFC	wilcoxon_pvalue
SSTR1	3.04	9.56	1.14	2.824e-05
PPFIA2	14.98	37.93	0.93	0.002011
COMP	8.31	20.21	0.89	0.02662
BMP6	3.26	6.01	0.61	0.1024
ASPN	13.29	22.91	0.54	0.002595
HMGB2	11.82	14.24	0.19	0.0371
FMOD	134.17	95.84	-0.34	0.009641
CD38	62.4	43.44	-0.36	0.03578
MYBPC1	271.72	173.2	-0.45	0.01412
C2	20.81	12.95	-0.47	0.00707
AC020571.3	18.07	10.26	-0.57	0.0001575
SLC22A3	99.66	54.59	-0.6	0.005625
SMOC1	11.7	5.93	-0.68	0.01355
SRD5A2	16.99	8.42	-0.7	0.000179
