Sample	condition	ASPN	AC020571.3	C2	SRD5A2	CD38	HMGB2	BMP6	SLC22A3	SSTR1	COMP	FMOD	PPFIA2	SMOC1	MYBPC1
CPCG_0375_F1	LR	1.89628	2.89761	2.71206	2.34281	3.07541	2.09645	0.661324	4.60478	1.55335	0.47785	4.71493	0.84524	1.5021	6.14251
CPCG_0377_F1	HR	1.90612	2.55209	2.31226	2.38601	4.87245	2.75269	1.21094	5.01696	0.992438	1.10345	5.20731	1.3216	2.22581	5.08525
CPCG_0378_F1	HR	2.40699	2.14281	2.17186	1.39896	2.0116	2.58051	0.716912	2.13605	1.52531	2.7638	5.10162	0.832629	1.49357	4.43705
CPCG_0380_F1	LR	2.15975	2.29544	3.10379	3.14414	3.65132	2.67606	0.873114	4.01422	1.12072	1.83604	4.30036	2.01909	2.6418	4.81521
CPCG_0381_F1	LR	2.58918	2.23545	2.35361	3.51637	3.91118	3.33066	1.09918	3.92746	1.80342	1.57057	4.42254	1.89365	2.97359	4.41894
CPCG_0382_F1	HR	2.56777	0.579418	1.48939	0.493361	1.39671	2.58641	3.27885	1.09701	2.1485	1.04662	1.48198	3.38124	0.503297	4.77619
CPCG_0389_F1	HR	1.89139	2.2173	1.60446	1.73673	1.66216	2.34986	1.478	4.65772	2.5521	1.23587	5.99184	4.63579	1.34793	4.86433
CPCG_0391_F1	LR	1.27962	2.64152	3.24878	2.30389	4.50919	2.60848	1.29109	3.9026	0.488681	0.682296	4.47228	0.55747	1.58355	5.38461
CPCG_0392_F1_R	HR	4.07768	1.82382	3.03646	1.1729	1.53417	2.90272	2.10039	2.83877	0.941797	5.02022	4.20395	1.9721	1.15642	4.17737
CPCG_0396_F1_R	LR	2.47865	2.78834	1.76463	2.89904	3.38032	2.62379	1.44965	4.81793	1.12114	1.92768	4.5968	4.82237	3.0477	5.50719
CPCG_0401_F1	LR	2.16588	2.05183	2.11858	2.35982	3.31701	2.18116	0.99035	2.70316	1.75226	0.828236	3.18886	2.10067	1.78434	4.0478
CPCG_0402_F1_R	HR	3.42426	0.462882	1.83167	1.34099	1.99534	2.85349	1.78563	1.87977	2.06218	3.05595	3.66684	5.33097	1.11412	1.57406
CPCG_0404_F1_R	LR	2.88419	3.79519	3.25558	1.97141	1.92903	2.55277	0.726091	2.91332	1.4866	1.69572	4.89157	3.13185	1.29293	6.73193
CPCG_0407_F1	LR	2.90351	3.06185	3.72493	2.11866	2.01551	2.23474	2.32213	3.7679	0.988711	3.48061	5.01667	4.50314	1.78966	4.80703
CPCG_0408_F1	HR	2.01372	1.98273	2.65078	3.09575	4.36073	2.52485	1.26973	4.71976	0.769202	1.14207	3.56171	1.22598	2.1379	4.51278
CPCG_0410_F1	LR	1.92323	3.53639	2.24419	2.91934	4.65436	2.33594	1.02841	4.65958	2.43851	1.30477	4.45838	2.87833	2.30735	5.40936
CPCG_0413_F1	LR	1.37936	2.37896	1.58159	1.88948	3.02001	1.98423	0.827486	3.38825	0.733377	0.739934	4.85152	0.314688	1.20665	5.33151
CPCG_0415_F1	LR	2.42107	3.06715	2.80852	3.24004	5.57551	2.4283	0.946716	3.77365	0.62927	0.584703	4.55132	1.90406	2.78211	5.82595
CPCG_0418_F1_R	LR	2.54956	2.67416	3.3924	2.88395	3.10648	2.58869	1.60128	3.73215	1.6267	2.60864	4.61023	1.16215	2.35039	6.2188
CPCG_0450_F1_R	LR	1.68477	3.1653	3.42777	3.29131	4.23756	2.93108	1.15428	5.28101	0.467897	2.37518	5.52341	1.02029	3.99597	5.7776
CPCG_0452_F1_R	LR	3.28931	2.51747	3.09914	2.62027	1.92561	2.39996	1.25953	4.5386	1.28875	2.55438	4.20331	2.33908	1.57065	5.72466
CPCG_0453_F1_R	HR	3.04357	1.53555	2.79252	2.18862	1.41046	2.97487	1.0856	4.02958	1.4939	0.805096	3.65579	0.957295	0.944377	4.41242
CPCG_0454_F1_R	LR	2.51623	3.70234	4.11092	3.04135	3.60949	2.42798	1.02079	5.20821	0.720123	1.20797	5.45324	1.75614	1.97356	5.2429
CPCG_0455_F1_R	HR	2.98735	3.28649	2.73635	2.58527	2.70011	2.57455	0.525166	4.86819	0.614569	1.42209	3.83706	1.08655	1.45176	3.83311
CPCG_0457_F1_R	HR	2.73615	1.58555	1.47287	1.2645	1.39498	3.03416	1.05581	1.65035	2.7822	1.84626	2.46404	3.18436	1.15933	4.20071
CPCG_0459_F1_R	LR	1.87236	2.72899	2.93287	2.54186	4.72335	2.19773	0.921673	4.48391	0.547207	1.15088	4.74898	0.882266	1.79071	6.56309
CPCG_0462_F1_R	HR	4.04401	1.83134	2.40196	2.64393	1.10831	2.8959	2.72027	4.27981	2.91441	3.04331	4.86508	4.65343	1.76179	3.27743
CPCG_0463_F1_R	LR	1.77611	3.59924	3.7478	3.41885	1.55901	2.59869	1.37222	5.05618	0.164783	2.0748	4.67358	0.869772	3.45615	5.96199
CPCG_0464_F1_R	LR	2.10489	3.22136	3.51126	2.45132	2.39439	1.94457	1.1672	2.98195	0.340176	1.12358	4.8709	0.761169	1.99245	6.26967
CPCG_0465_F1_R	LR	4.27859	2.57811	3.03418	2.59264	4.73946	2.80256	1.65744	4.68047	1.09783	3.43576	6.12753	1.09997	2.01496	3.50256
CPCG_0468_F1_R	HR	3.37601	1.92584	2.31243	2.57439	3.65702	2.47019	1.53462	4.40403	1.74477	3.68999	4.4665	5.09629	2.66102	5.91974
