Gene	Overall
HMGB2	100
C2	49.7978920291962
BMP6	40.5799442116521
SMOC1	34.9137732025137
ASPN	32.8606064012414
COMP	30.5126189162617
AC020571.3	28.0447957401245
PPFIA2	24.1748388601258
MYBPC1	23.5540748705787
SRD5A2	23.0998547182798
CD38	22.9390019893059
FMOD	17.8412959382886
SSTR1	5.17819103702856
SLC22A3	0
